행정구역,총인구수,연령구간인구수,2022년04월_계_0~9세,2022년04월_계_10~19세,2022년04월_계_20~29세,2022년04월_계_30~39세,2022년04월_계_40~49세,2022년04월_계_50~59세,2022년04월_계_60~69세,2022년04월_계_70~79세,2022년04월_계_80~89세,2022년04월_계_90~99세,2022년04월_계_100세 이상,2022년04월_남_총인구수,2022년04월_남_연령구간인구수,2022년04월_남_0~9세,2022년04월_남_10~19세,2022년04월_남_20~29세,2022년04월_남_30~39세,2022년04월_남_40~49세,2022년04월_남_50~59세,2022년04월_남_60~69세,2022년04월_남_70~79세,2022년04월_남_80~89세,2022년04월_남_90~99세,2022년04월_남_100세 이상,2022년04월_여_총인구수,2022년04월_여_연령구간인구수,2022년04월_여_0~9세,2022년04월_여_10~19세,2022년04월_여_20~29세,2022년04월_여_30~39세,2022년04월_여_40~49세,2022년04월_여_50~59세,2022년04월_여_60~69세,2022년04월_여_70~79세,2022년04월_여_80~89세,2022년04월_여_90~99세,2022년04월_여_100세 이상
광주광역시 북구 두암1동(2917066100),7712,7712,266,562,1117,743,956,1323,1347,955,390,51,2,3834,3834,147,305,575,401,514,651,620,442,163,16,0,3878,3878,119,257,542,342,442,672,727,513,227,35,2
광주광역시 북구 두암2동(2917066200),15929,15929,768,1273,2166,1713,2127,2883,2740,1569,601,87,2,7865,7865,389,663,1129,913,1107,1422,1243,736,252,11,0,8064,8064,379,610,1037,800,1020,1461,1497,833,349,76,2
광주광역시 북구 두암3동(2917066300),13203,13203,405,736,1509,1217,1425,2440,2848,1663,839,120,1,6309,6309,199,390,775,648,759,1202,1377,686,243,30,0,6894,6894,206,346,734,569,666,1238,1471,977,596,90,1
광주광역시 북구 삼각동(2917066600),13881,13881,882,1580,2116,1624,2281,2692,1595,753,308,50,0,7172,7172,484,889,1199,856,1107,1366,803,339,119,10,0,6709,6709,398,691,917,768,1174,1326,792,414,189,40,0
광주광역시 북구 일곡동(2917066900),29549,29549,2171,4330,4501,2898,5283,5755,2651,1195,674,88,3,14462,14462,1127,2364,2444,1392,2302,2816,1281,492,221,23,0,15087,15087,1044,1966,2057,1506,2981,2939,1370,703,453,65,3
광주광역시 북구 매곡동(2917067300),13726,13726,1050,1650,1888,1604,2140,2458,1687,784,388,75,2,6708,6708,554,893,1004,795,1012,1119,806,371,139,15,0,7018,7018,496,757,884,809,1128,1339,881,413,249,60,2
광주광역시 북구 오치1동(2917067600),10807,10807,546,951,1632,1224,1539,2111,1622,796,332,51,3,5497,5497,267,511,869,671,807,1071,806,371,112,12,0,5310,5310,279,440,763,553,732,1040,816,425,220,39,3
광주광역시 북구 오치2동(2917067700),12386,12386,507,732,1799,1447,1479,2331,2243,1163,591,93,1,6063,6063,244,413,918,792,802,1111,1083,513,174,13,0,6323,6323,263,319,881,655,677,1220,1160,650,417,80,1
광주광역시 북구 석곡동(2917068500),2501,2501,71,123,229,210,207,476,583,353,219,29,1,1290,1290,32,72,137,124,121,258,311,157,73,5,0,1211,1211,39,51,92,86,86,218,272,196,146,24,1
광주광역시 북구 건국동(2917069500),22131,22131,2535,2549,2598,3239,4016,3431,2136,1016,526,83,2,11202,11202,1331,1308,1402,1630,2025,1797,1072,469,161,7,0,10929,10929,1204,1241,1196,1609,1991,1634,1064,547,365,76,2
광주광역시 북구 양산동(2917069600),37648,37648,3671,4034,5100,5574,6585,6018,3916,1819,800,127,4,18902,18902,1896,2072,2673,2943,3364,2972,1884,811,260,27,0,18746,18746,1775,1962,2427,2631,3221,3046,2032,1008,540,100,4
광주광역시 북구 신용동(2917069700),29677,29677,4132,3895,3110,4908,6487,3922,2042,820,314,47,0,14703,14703,2126,2004,1630,2365,3296,1893,944,348,92,5,0,14974,14974,2006,1891,1480,2543,3191,2029,1098,472,222,42,0
광주광역시 광산구 (2920000000),402998,402998,36409,50917,57786,51998,74938,67338,36673,17300,8398,1207,34,203195,203195,18668,26199,30753,26703,37144,34830,18523,7570,2586,216,3,199803,199803,17741,24718,27033,25295,37794,32508,18150,9730,5812,991,31
광주광역시 광산구 송정1동(2920051500),10867,10867,620,1059,1679,1128,1753,1901,1404,896,375,52,0,5518,5518,330,546,948,586,902,1007,678,364,141,16,0,5349,5349,290,513,731,542,851,894,726,532,234,36,0
광주광역시 광산구 송정2동(2920052500),6510,6510,314,342,977,862,812,1116,933,770,342,40,2,3242,3242,158,182,509,481,451,572,421,333,125,10,0,3268,3268,156,160,468,381,361,544,512,437,217,30,2
광주광역시 광산구 도산동(2920054000),15178,15178,1302,1559,2078,2024,2584,2499,1623,987,469,51,2,7639,7639,677,824,1145,1029,1343,1260,766,424,163,8,0,7539,7539,625,735,933,995,1241,1239,857,563,306,43,2
광주광역시 광산구 신흥동(2920055000),4535,4535,291,373,555,524,693,763,667,457,181,28,3,2301,2301,149,201,315,295,360,379,317,212,65,8,0,2234,2234,142,172,240,229,333,384,350,245,116,20,3
광주광역시 광산구 어룡동(2920056500),32831,32831,3679,3718,3957,5054,6233,4764,3257,1413,661,93,2,16825,16825,1909,1903,2213,2562,3362,2434,1595,634,201,12,0,16006,16006,1770,1815,1744,2492,2871,2330,1662,779,460,81,2
광주광역시 광산구 우산동(2920058000),29643,29643,2419,2194,4220,4760,4374,5227,3790,1638,886,135,0,15052,15052,1259,1111,2229,2594,2283,2664,1950,730,219,13,0,14591,14591,1160,1083,1991,2166,2091,2563,1840,908,667,122,0
광주광역시 광산구 월곡1동(2920060000),10708,10708,633,1039,1737,1223,1482,2172,1524,582,279,37,0,5441,5441,329,555,946,672,722,1070,763,289,87,8,0,5267,5267,304,484,791,551,760,1102,761,293,192,29,0
광주광역시 광산구 월곡2동(2920061000),15444,15444,935,1856,2346,1643,2616,3019,1878,781,332,37,1,7763,7763,494,953,1213,855,1272,1538,941,369,119,9,0,7681,7681,441,903,1133,788,1344,1481,937,412,213,28,1
광주광역시 광산구 비아동(2920062000),7591,7591,668,818,896,863,1433,1467,785,405,228,28,0,4001,4001,350,431,502,459,765,820,426,175,68,5,0,3590,3590,318,387,394,404,668,647,359,230,160,23,0
광주광역시 광산구 첨단1동(2920062400),27449,27449,1978,3304,4871,3534,4215,5528,2672,828,444,74,1,13644,13644,1034,1638,2573,1866,1941,2586,1471,368,155,11,1,13805,13805,944,1666,2298,1668,2274,2942,1201,460,289,63,0
광주광역시 광산구 첨단2동(2920062600),43163,43163,3452,5327,7887,5737,7673,7971,3241,1162,629,83,1,21824,21824,1757,2791,4187,3042,3620,4043,1704,490,174,16,0,21339,21339,1695,2536,3700,2695,4053,3928,1537,672,455,67,1
광주광역시 광산구 신가동(2920063000),18284,18284,1888,2733,2596,2179,3758,3033,1208,627,232,29,1,9263,9263,970,1401,1362,1111,1826,1664,580,273,71,5,0,9021,9021,918,1332,1234,1068,1932,1369,628,354,161,24,1
광주광역시 광산구 운남동(2920063500),30611,30611,2569,3685,4543,3712,5579,5683,2727,1372,658,80,3,14957,14957,1304,1934,2298,1853,2711,2796,1324,512,200,25,0,15654,15654,1265,1751,2245,1859,2868,2887,1403,860,458,55,3
광주광역시 광산구 수완동(2920063700),76891,76891,8924,13675,9613,9309,17801,10840,4233,1782,611,96,7,37869,37869,4550,6845,4986,4319,8460,5764,2025,732,174,13,1,39022,39022,4374,6830,4627,4990,9341,5076,2208,1050,437,83,6
광주광역시 광산구 하남동(2920064000),26338,26338,3043,3447,3531,3816,5393,3940,2135,697,280,55,1,13594,13594,1542,1809,1930,1951,2806,2015,1120,333,81,7,0,12744,12744,1501,1638,1601,1865,2587,1925,1015,364,199,48,1
광주광역시 광산구 임곡동(2920065000),2115,2115,55,111,148,121,167,382,482,329,263,56,1,1099,1099,19,56,87,72,105,228,276,154,96,6,0,1016,1016,36,55,61,49,62,154,206,175,167,50,1
광주광역시 광산구 동곡동(2920066000),1848,1848,42,67,148,142,171,299,409,348,197,25,0,953,953,22,41,81,92,111,173,212,166,52,3,0,895,895,20,26,67,50,60,126,197,182,145,22,0
광주광역시 광산구 평동(2920067000),4070,4070,128,138,418,445,491,647,824,573,341,61,4,2274,2274,64,80,254,271,346,422,441,287,96,13,0,1796,1796,64,58,164,174,145,225,383,286,245,48,4
광주광역시 광산구 삼도동(2920068000),2189,2189,45,124,147,139,198,370,476,350,290,49,1,1147,1147,19,69,97,89,113,237,271,167,76,9,0,1042,1042,26,55,50,50,85,133,205,183,214,40,1
광주광역시 광산구 본량동(2920069000),1986,1986,32,85,141,120,198,316,395,343,308,47,1,991,991,16,46,76,61,122,194,228,138,97,13,0,995,995,16,39,65,59,76,122,167,205,211,34,1
광주광역시 광산구 신창동(2920070000),34747,34747,3392,5263,5298,4663,7314,5401,2010,960,392,51,3,17798,17798,1716,2783,2802,2443,3523,2964,1014,420,126,6,1,16949,16949,1676,2480,2496,2220,3791,2437,996,540,266,45,2
대전광역시  (3000000000),1449360,1449360,105714,140935,207253,188455,229928,239743,192839,93333,44658,6323,179,723063,723063,54308,72903,108612,98929,114412,119817,93521,42664,16411,1459,27,726297,726297,51406,68032,98641,89526,115516,119926,99318,50669,28247,4864,152
대전광역시 동구 (3011000000),220313,220313,13710,19349,29520,24642,33068,36040,34393,19197,9160,1201,33,110985,110985,7111,9960,15706,13331,17283,18651,16647,8646,3345,298,7,109328,109328,6599,9389,13814,11311,15785,17389,17746,10551,5815,903,26
대전광역시 동구 중앙동(3011051500),4452,4452,112,116,308,366,458,837,1117,750,339,48,1,2506,2506,52,54,190,211,306,562,637,356,129,9,0,1946,1946,60,62,118,155,152,275,480,394,210,39,1
대전광역시 동구 효동(3011053000),24499,24499,2199,3311,2526,2603,4770,3612,3041,1620,699,115,3,12023,12023,1098,1722,1358,1290,2324,1825,1391,718,270,27,0,12476,12476,1101,1589,1168,1313,2446,1787,1650,902,429,88,3
대전광역시 동구 신인동(3011054500),11995,11995,817,863,1256,1497,1757,1915,2002,1246,574,66,2,5849,5849,416,459,634,783,933,905,908,559,232,19,1,6146,6146,401,404,622,714,824,1010,1094,687,342,47,1
대전광역시 동구 판암1동(3011055100),12279,12279,751,912,1401,1434,1637,2117,2073,1208,666,79,1,6004,6004,421,470,752,768,805,1032,996,515,223,22,0,6275,6275,330,442,649,666,832,1085,1077,693,443,57,1
대전광역시 동구 판암2동(3011055200),8405,8405,239,348,739,686,944,1405,1938,1282,726,97,1,4096,4096,123,187,419,402,542,734,912,533,223,20,1,4309,4309,116,161,320,284,402,671,1026,749,503,77,0
대전광역시 동구 용운동(3011056000),21872,21872,1651,1814,3249,2981,3205,3621,3131,1500,629,88,3,11030,11030,865,903,1745,1598,1643,1814,1520,699,223,19,1,10842,10842,786,911,1504,1383,1562,1807,1611,801,406,69,2
대전광역시 동구 대동(3011058500),14779,14779,1289,1450,1680,1835,2382,2346,2060,1099,552,84,2,7403,7403,675,769,869,950,1222,1185,1004,495,206,28,0,7376,7376,614,681,811,885,1160,1161,1056,604,346,56,2
대전광역시 동구 자양동(3011059000),10820,10820,359,834,2821,1048,1236,1578,1562,921,410,49,2,5746,5746,179,403,1569,642,711,857,777,428,170,10,0,5074,5074,180,431,1252,406,525,721,785,493,240,39,2
대전광역시 동구 가양1동(3011062000),13383,13383,685,1062,1888,1316,1942,2253,2259,1310,601,65,2,6908,6908,346,547,1050,726,1047,1221,1124,600,229,18,0,6475,6475,339,515,838,590,895,1032,1135,710,372,47,2
대전광역시 동구 가양2동(3011063000),18183,18183,844,1700,2798,1912,2588,3271,2823,1476,689,80,2,9103,9103,440,878,1421,1077,1324,1680,1336,682,249,16,0,9080,9080,404,822,1377,835,1264,1591,1487,794,440,64,2
대전광역시 동구 용전동(3011064000),20495,20495,994,1449,3976,2973,3078,3284,2737,1368,573,59,4,10488,10488,510,725,2021,1700,1653,1707,1329,621,209,12,1,10007,10007,484,724,1955,1273,1425,1577,1408,747,364,47,3
대전광역시 동구 성남동(3011066500),11546,11546,797,872,1226,1348,1664,1964,1951,1134,505,81,4,5732,5732,442,421,666,705,892,991,916,502,175,21,1,5814,5814,355,451,560,643,772,973,1035,632,330,60,3
대전광역시 동구 홍도동(3011067000),10987,10987,506,779,2086,1216,1472,1834,1766,856,414,58,0,5580,5580,285,417,1053,678,817,937,858,371,155,9,0,5407,5407,221,362,1033,538,655,897,908,485,259,49,0
대전광역시 동구 삼성동(3011069500),13885,13885,711,1166,1392,1314,2019,2465,2489,1510,734,83,2,7068,7068,357,597,783,710,1086,1310,1221,689,286,28,1,6817,6817,354,569,609,604,933,1155,1268,821,448,55,1
대전광역시 동구 대청동(3011072500),2406,2406,58,129,191,147,233,442,585,333,242,46,0,1247,1247,26,60,104,97,133,260,322,155,76,14,0,1159,1159,32,69,87,50,100,182,263,178,166,32,0
대전광역시 동구 산내동(3011074000),20327,20327,1698,2544,1983,1966,3683,3096,2859,1584,807,103,4,10202,10202,876,1348,1072,994,1845,1631,1396,723,290,26,1,10125,10125,822,1196,911,972,1838,1465,1463,861,517,77,3
대전광역시 중구 (3014000000),229531,229531,13542,20665,29775,24961,34822,38719,34907,20578,10170,1351,41,112971,112971,6911,10650,15096,12888,17578,19618,16735,9257,3901,328,9,116560,116560,6631,10015,14679,12073,17244,19101,18172,11321,6269,1023,32
대전광역시 중구 은행선화동(3014053500),15564,15564,810,976,2706,2326,2354,2488,2211,1112,497,81,3,7970,7970,385,483,1242,1242,1312,1408,1159,528,192,18,1,7594,7594,425,493,1464,1084,1042,1080,1052,584,305,63,2
대전광역시 중구 목동(3014055000),14218,14218,1300,2404,1537,1365,3130,2158,1271,668,340,42,3,6795,6795,661,1191,762,606,1452,1132,562,284,134,11,0,7423,7423,639,1213,775,759,1678,1026,709,384,206,31,3
대전광역시 중구 중촌동(3014056000),13839,13839,901,1134,1592,1723,2118,2319,2116,1236,611,85,4,6752,6752,452,584,857,911,1078,1131,977,528,207,26,1,7087,7087,449,550,735,812,1040,1188,1139,708,404,59,3
대전광역시 중구 대흥동(3014057500),13625,13625,790,1061,2435,1903,2101,1935,1791,1012,496,97,4,6711,6711,424,562,1104,982,1093,1013,863,439,197,32,2,6914,6914,366,499,1331,921,1008,922,928,573,299,65,2
대전광역시 중구 문창동(3014060500),4634,4634,155,286,497,419,548,826,920,599,335,48,1,2417,2417,94,153,271,236,326,477,463,260,131,6,0,2217,2217,61,133,226,183,222,349,457,339,204,42,1
대전광역시 중구 석교동(3014062000),15542,15542,644,1061,1710,1501,1989,2748,3109,1873,805,100,2,7825,7825,335,540,928,844,1086,1389,1513,860,308,21,1,7717,7717,309,521,782,657,903,1359,1596,1013,497,79,1
대전광역시 중구 대사동(3014063000),5456,5456,147,257,1039,625,590,850,935,597,367,48,1,2641,2641,84,151,445,344,330,428,441,253,150,15,0,2815,2815,63,106,594,281,260,422,494,344,217,33,1
대전광역시 중구 부사동(3014064000),6705,6705,281,411,792,677,841,1179,1314,748,391,70,1,3383,3383,155,228,404,385,451,604,637,343,159,17,0,3322,3322,126,183,388,292,390,575,677,405,232,53,1
대전광역시 중구 용두동(3014065500),9335,9335,483,669,1711,1334,1289,1445,1140,776,439,48,1,4542,4542,239,304,809,696,668,767,556,335,158,10,0,4793,4793,244,365,902,638,621,678,584,441,281,38,1
대전광역시 중구 오류동(3014067000),10586,10586,611,776,1528,1320,1429,1805,1479,979,567,92,0,4959,4959,288,402,716,655,707,842,696,418,209,26,0,5627,5627,323,374,812,665,722,963,783,561,358,66,0
대전광역시 중구 태평1동(3014068000),13180,13180,1041,1521,1438,1406,2324,2247,1613,1052,491,46,1,6384,6384,557,743,759,685,1102,1134,760,460,175,9,0,6796,6796,484,778,679,721,1222,1113,853,592,316,37,1
대전광역시 중구 태평2동(3014069000),25303,25303,1703,2915,2882,2159,4106,4426,3596,2272,1100,138,6,12134,12134,859,1492,1531,1046,1898,2138,1647,1031,462,30,0,13169,13169,844,1423,1351,1113,2208,2288,1949,1241,638,108,6
대전광역시 중구 유천1동(3014070000),6381,6381,297,308,830,824,895,1096,1197,601,296,36,1,3306,3306,158,176,444,449,511,578,601,274,107,8,0,3075,3075,139,132,386,375,384,518,596,327,189,28,1
대전광역시 중구 유천2동(3014071000),13650,13650,796,948,1773,1507,1872,2199,2308,1450,710,84,3,6756,6756,396,510,922,775,994,1073,1087,693,283,21,2,6894,6894,400,438,851,732,878,1126,1221,757,427,63,1
대전광역시 중구 문화1동(3014072000),21958,21958,1679,2713,2759,2159,3727,3590,2708,1650,864,107,2,10563,10563,881,1407,1364,1017,1714,1777,1286,741,347,28,1,11395,11395,798,1306,1395,1142,2013,1813,1422,909,517,79,1
대전광역시 중구 문화2동(3014073000),12454,12454,549,997,1471,1228,1693,2323,2139,1221,737,93,3,6036,6036,274,543,803,689,826,1123,992,497,272,17,0,6418,6418,275,454,668,539,867,1200,1147,724,465,76,3
대전광역시 중구 산성동(3014074000),27101,27101,1355,2228,3075,2485,3816,5085,5060,2732,1124,136,5,13797,13797,669,1181,1735,1326,2030,2604,2495,1313,410,33,1,13304,13304,686,1047,1340,1159,1786,2481,2565,1419,714,103,4
대전광역시 서구 (3017000000),471907,471907,35351,47622,71935,64254,75965,76543,59053,26927,12405,1802,50,231995,231995,18194,24542,36682,32980,36798,37118,28274,12384,4629,386,8,239912,239912,17157,23080,35253,31274,39167,39425,30779,14543,7776,1416,42
대전광역시 서구 복수동(3017051000),22179,22179,1910,2965,2709,2446,4149,3512,2610,1291,518,68,1,10941,10941,956,1500,1410,1227,1971,1758,1250,633,219,16,1,11238,11238,954,1465,1299,1219,2178,1754,1360,658,299,52,0
대전광역시 서구 도마1동(3017052000),15172,15172,682,957,2476,1586,1773,2556,2781,1597,681,83,0,7741,7741,352,507,1404,888,975,1284,1305,737,268,21,0,7431,7431,330,450,1072,698,798,1272,1476,860,413,62,0
대전광역시 서구 도마2동(3017053000),17320,17320,819,1341,2479,1806,2276,2901,3113,1762,740,80,3,8724,8724,447,691,1358,989,1211,1433,1437,832,312,14,0,8596,8596,372,650,1121,817,1065,1468,1676,930,428,66,3
대전광역시 서구 정림동(3017053500),15962,15962,948,1384,1855,1649,2193,2927,2965,1323,623,93,2,7773,7773,501,746,984,856,1090,1337,1409,604,223,23,0,8189,8189,447,638,871,793,1103,1590,1556,719,400,70,2
대전광역시 서구 변동(3017054000),15963,15963,878,1179,2068,1942,2236,2781,2702,1464,620,92,1,8098,8098,480,623,1102,1076,1153,1421,1290,674,256,23,0,7865,7865,398,556,966,866,1083,1360,1412,790,364,69,1
대전광역시 서구 용문동(3017055000),12234,12234,538,581,2485,2105,1674,1721,1677,951,442,57,3,5858,5858,269,305,1150,1110,861,831,752,407,157,16,0,6376,6376,269,276,1335,995,813,890,925,544,285,41,3
대전광역시 서구 탄방동(3017055500),26955,26955,1565,2271,5308,4619,4334,4218,2869,1126,563,81,1,12979,12979,832,1209,2474,2337,2044,1997,1371,494,210,11,0,13976,13976,733,1062,2834,2282,2290,2221,1498,632,353,70,1
대전광역시 서구 괴정동(3017056000),19234,19234,1043,1234,4629,3564,2783,2543,1994,994,386,62,2,9371,9371,523,627,2077,1940,1457,1197,924,457,158,11,0,9863,9863,520,607,2552,1624,1326,1346,1070,537,228,51,2
대전광역시 서구 가장동(3017057000),11331,11331,701,1012,1504,1317,1731,1867,1757,966,421,55,0,5476,5476,374,502,725,699,841,897,806,444,179,9,0,5855,5855,327,510,779,618,890,970,951,522,242,46,0
대전광역시 서구 내동(3017057500),23482,23482,1676,2537,3107,2532,3877,3917,3277,1726,735,97,1,11262,11262,841,1224,1624,1272,1839,1845,1493,801,300,23,0,12220,12220,835,1313,1483,1260,2038,2072,1784,925,435,74,1
대전광역시 서구 갈마1동(3017058100),21657,21657,1073,1529,4358,3454,3028,3310,3107,1207,520,68,3,11024,11024,571,802,2281,1991,1519,1600,1457,584,203,15,1,10633,10633,502,727,2077,1463,1509,1710,1650,623,317,53,2
대전광역시 서구 갈마2동(3017058200),24627,24627,1269,1894,5482,4164,3602,4049,2740,930,449,47,1,12357,12357,660,917,2781,2284,1851,1927,1342,429,157,9,0,12270,12270,609,977,2701,1880,1751,2122,1398,501,292,38,1
대전광역시 서구 월평1동(3017058600),11344,11344,326,530,2987,1956,1448,1872,1374,571,240,38,2,6070,6070,161,290,1580,1175,842,967,696,267,87,4,1,5274,5274,165,240,1407,781,606,905,678,304,153,34,1
대전광역시 서구 월평2동(3017058700),14441,14441,712,1217,1711,1455,1817,2698,2662,1248,782,135,4,6843,6843,350,615,926,742,850,1258,1299,557,222,23,1,7598,7598,362,602,785,713,967,1440,1363,691,560,112,3
대전광역시 서구 월평3동(3017058800),20985,20985,1652,2545,2545,2556,3262,3729,3145,995,465,91,0,10294,10294,854,1358,1424,1242,1478,1709,1572,471,168,18,0,10691,10691,798,1187,1121,1314,1784,2020,1573,524,297,73,0
대전광역시 서구 가수원동(3017059000),46395,46395,6223,5376,5225,7444,8752,6329,4495,1692,738,115,6,22795,22795,3177,2737,2623,3557,4382,3080,2138,798,269,31,3,23600,23600,3046,2639,2602,3887,4370,3249,2357,894,469,84,3
대전광역시 서구 관저1동(3017059600),15418,15418,1156,1545,2712,1986,2230,2726,1767,805,434,55,2,7333,7333,599,814,1275,980,1015,1258,883,338,155,16,0,8085,8085,557,731,1437,1006,1215,1468,884,467,279,39,2
대전광역시 서구 관저2동(3017059700),49433,49433,5628,6041,6558,7357,9324,7760,4071,1787,789,117,1,24094,24094,2867,3094,3314,3579,4414,3837,1926,789,254,20,0,25339,25339,2761,2947,3244,3778,4910,3923,2145,998,535,97,1
대전광역시 서구 기성동(3017060000),3658,3658,91,163,261,248,395,646,792,555,409,92,6,1892,1892,60,85,152,140,231,360,451,258,141,14,0,1766,1766,31,78,109,108,164,286,341,297,268,78,6
대전광역시 서구 둔산1동(3017063000),16620,16620,1476,3339,1545,1189,3891,2536,1362,823,388,71,0,8179,8179,764,1735,815,513,1728,1368,684,391,160,21,0,8441,8441,712,1604,730,676,2163,1168,678,432,228,50,0
대전광역시 서구 둔산2동(3017064000),35261,35261,2997,3942,5163,5210,6015,6218,3778,1279,582,75,2,17031,17031,1537,2034,2538,2511,2731,2949,1887,607,217,19,1,18230,18230,1460,1908,2625,2699,3284,3269,1891,672,365,56,1
대전광역시 서구 만년동(3017065000),12675,12675,882,1226,2279,2022,1924,2244,1371,457,231,39,0,6395,6395,438,636,1319,1062,903,1066,681,201,82,7,0,6280,6280,444,590,960,960,1021,1178,690,256,149,32,0
대전광역시 서구 둔산3동(3017066000),19561,19561,1106,2814,2489,1647,3251,3483,2644,1378,649,91,9,9465,9465,581,1491,1346,810,1412,1739,1221,611,232,22,0,10096,10096,525,1323,1143,837,1839,1744,1423,767,417,69,9
대전광역시 유성구 (3020000000),352557,352557,32764,37791,52188,54555,60183,55137,37569,14180,6985,1176,29,178115,178115,16873,19620,28023,28622,29492,27559,18570,6668,2409,277,2,174442,174442,15891,18171,24165,25933,30691,27578,18999,7512,4576,899,27
대전광역시 유성구 진잠동(3020052000),25275,25275,1835,2377,3327,2823,4124,4744,3527,1559,837,119,3,12929,12929,952,1290,1793,1561,2116,2449,1747,712,288,21,0,12346,12346,883,1087,1534,1262,2008,2295,1780,847,549,98,3
대전광역시 유성구 학하동(3020052600),17161,17161,1775,1303,2604,2749,2677,2732,2350,641,279,49,2,8839,8839,917,656,1519,1393,1374,1288,1221,355,107,9,0,8322,8322,858,647,1085,1356,1303,1444,1129,286,172,40,2
대전광역시 유성구 상대동(3020052700),24696,24696,3084,3419,2402,3387,4835,3818,2576,759,342,74,0,12066,12066,1549,1792,1247,1555,2276,1870,1284,363,118,12,0,12630,12630,1535,1627,1155,1832,2559,1948,1292,396,224,62,0
대전광역시 유성구 온천1동(3020053000),26612,26612,858,949,6598,5389,3294,3974,3214,1521,710,100,5,13736,13736,439,498,3183,3115,1817,2059,1656,684,253,32,0,12876,12876,419,451,3415,2274,1477,1915,1558,837,457,68,5
대전광역시 유성구 온천2동(3020054000),39689,39689,3253,3092,8583,6097,5527,5650,4784,1779,780,143,1,20687,20687,1644,1600,4987,3389,2770,2761,2342,871,283,40,0,19002,19002,1609,1492,3596,2708,2757,2889,2442,908,497,103,1
대전광역시 유성구 노은1동(3020054600),21603,21603,1982,2965,2751,3032,4145,3369,1951,888,447,69,4,10731,10731,1035,1518,1426,1543,1975,1708,938,402,168,17,1,10872,10872,947,1447,1325,1489,2170,1661,1013,486,279,52,3
대전광역시 유성구 노은2동(3020054700),24167,24167,2148,3249,3064,2928,4478,4061,2399,1112,633,93,2,11895,11895,1122,1676,1596,1469,2089,2015,1174,498,236,20,0,12272,12272,1026,1573,1468,1459,2389,2046,1225,614,397,73,2
대전광역시 유성구 노은3동(3020054800),36976,36976,4565,4554,3584,5611,7394,5422,3700,1456,581,106,3,18116,18116,2336,2320,1881,2654,3586,2634,1745,712,226,22,0,18860,18860,2229,2234,1703,2957,3808,2788,1955,744,355,84,3
대전광역시 유성구 신성동(3020055000),26029,26029,2785,2807,4076,5301,4157,3517,2180,730,400,76,0,13629,13629,1460,1457,2234,2934,2083,1821,1124,373,122,21,0,12400,12400,1325,1350,1842,2367,2074,1696,1056,357,278,55,0
대전광역시 유성구 전민동(3020057000),26886,26886,2448,3088,4219,4433,4161,4386,2762,771,499,117,2,13752,13752,1282,1577,2331,2461,1974,2138,1433,373,146,37,0,13134,13134,1166,1511,1888,1972,2187,2248,1329,398,353,80,2
대전광역시 유성구 구즉동(3020058000),27687,27687,2278,3005,4135,4067,4611,4786,2788,1209,704,102,2,14156,14156,1168,1558,2291,2212,2288,2494,1408,492,221,24,0,13531,13531,1110,1447,1844,1855,2323,2292,1380,717,483,78,2
대전광역시 유성구 관평동(3020060000),28456,28456,2896,4361,3738,3765,5688,4685,2277,680,313,52,1,14566,14566,1476,2314,2015,1929,2691,2539,1161,338,96,7,0,13890,13890,1420,2047,1723,1836,2997,2146,1116,342,217,45,1
대전광역시 유성구 원신흥동(3020061000),27320,27320,2857,2622,3107,4973,5092,3993,3061,1075,460,76,4,13013,13013,1493,1364,1520,2407,2453,1783,1337,495,145,15,1,14307,14307,1364,1258,1587,2566,2639,2210,1724,580,315,61,3
대전광역시 대덕구 (3023000000),175052,175052,10347,15508,23835,20043,25890,33304,26917,12451,5938,793,26,88997,88997,5219,8131,13105,11108,13261,16871,13295,5709,2127,170,1,86055,86055,5128,7377,10730,8935,12629,16433,13622,6742,3811,623,25
대전광역시 대덕구 오정동(3023051000),14375,14375,567,984,2264,1465,1833,2615,2707,1336,524,76,4,7596,7596,287,542,1223,849,1043,1409,1367,655,205,16,0,6779,6779,280,442,1041,616,790,1206,1340,681,319,60,4
대전광역시 대덕구 대화동(3023052000),6827,6827,232,456,778,747,1007,1280,1310,683,287,44,3,3598,3598,116,258,452,402,562,699,679,323,99,8,0,3229,3229,116,198,326,345,445,581,631,360,188,36,3
대전광역시 대덕구 회덕동(3023052500),12096,12096,563,931,1353,1152,1623,2283,2320,1173,620,76,2,6149,6149,273,494,730,656,852,1208,1139,558,213,26,0,5947,5947,290,437,623,496,771,1075,1181,615,407,50,2
대전광역시 대덕구 비래동(3023053300),16081,16081,833,1538,2125,1545,2359,3132,2649,1263,554,82,1,7999,7999,430,827,1137,861,1164,1533,1233,578,217,19,0,8082,8082,403,711,988,684,1195,1599,1416,685,337,63,1
대전광역시 대덕구 송촌동(3023054300),26860,26860,1814,3527,3909,2543,4585,5616,2982,1147,653,83,1,13253,13253,894,1800,2087,1303,2058,2791,1550,496,257,17,0,13607,13607,920,1727,1822,1240,2527,2825,1432,651,396,66,1
대전광역시 대덕구 중리동(3023054600),19454,19454,847,1516,2978,2211,2877,3749,3154,1433,616,72,1,10090,10090,425,812,1651,1284,1553,1920,1538,667,227,13,0,9364,9364,422,704,1327,927,1324,1829,1616,766,389,59,1
