행정구역,총인구수,연령구간인구수,2022년04월_계_0~9세,2022년04월_계_10~19세,2022년04월_계_20~29세,2022년04월_계_30~39세,2022년04월_계_40~49세,2022년04월_계_50~59세,2022년04월_계_60~69세,2022년04월_계_70~79세,2022년04월_계_80~89세,2022년04월_계_90~99세,2022년04월_계_100세 이상,2022년04월_남_총인구수,2022년04월_남_연령구간인구수,2022년04월_남_0~9세,2022년04월_남_10~19세,2022년04월_남_20~29세,2022년04월_남_30~39세,2022년04월_남_40~49세,2022년04월_남_50~59세,2022년04월_남_60~69세,2022년04월_남_70~79세,2022년04월_남_80~89세,2022년04월_남_90~99세,2022년04월_남_100세 이상,2022년04월_여_총인구수,2022년04월_여_연령구간인구수,2022년04월_여_0~9세,2022년04월_여_10~19세,2022년04월_여_20~29세,2022년04월_여_30~39세,2022년04월_여_40~49세,2022년04월_여_50~59세,2022년04월_여_60~69세,2022년04월_여_70~79세,2022년04월_여_80~89세,2022년04월_여_90~99세,2022년04월_여_100세 이상
서울특별시 중구 장충동(1114058000),4596,4596,154,298,1203,654,559,601,539,361,198,29,0,2387,2387,79,151,658,361,298,311,280,168,70,11,0,2209,2209,75,147,545,293,261,290,259,193,128,18,0
서울특별시 중구 광희동(1114059000),5248,5248,123,177,1060,911,594,800,839,510,204,29,1,2655,2655,62,78,444,506,322,444,457,251,82,8,1,2593,2593,61,99,616,405,272,356,382,259,122,21,0
서울특별시 중구 을지로동(1114060500),1737,1737,33,37,240,322,183,270,375,181,80,16,0,1059,1059,17,19,112,187,117,195,258,108,40,6,0,678,678,16,18,128,135,66,75,117,73,40,10,0
서울특별시 중구 신당동(1114061500),7702,7702,254,273,1389,1312,1055,1327,1104,641,294,50,3,3796,3796,109,123,601,653,583,711,572,318,112,11,3,3906,3906,145,150,788,659,472,616,532,323,182,39,0
서울특별시 중구 다산동(1114062500),13744,13744,482,768,2268,2196,1853,2259,2008,1215,599,93,3,6671,6671,255,406,1079,1142,967,1089,926,556,224,26,1,7073,7073,227,362,1189,1054,886,1170,1082,659,375,67,2
서울특별시 중구 약수동(1114063500),16595,16595,962,924,1960,2311,2346,2775,2692,1589,872,161,3,7681,7681,468,468,911,1087,1161,1308,1225,699,310,43,1,8914,8914,494,456,1049,1224,1185,1467,1467,890,562,118,2
서울특별시 중구 청구동(1114064500),13485,13485,683,830,1792,2143,1823,2266,2068,1135,652,91,2,6414,6414,356,421,856,1090,895,1082,995,450,246,22,1,7071,7071,327,409,936,1053,928,1184,1073,685,406,69,1
서울특별시 중구 신당제5동(1114065000),10288,10288,529,517,1603,1691,1515,1843,1368,788,388,43,3,5013,5013,264,246,723,848,778,986,678,327,148,15,0,5275,5275,265,271,880,843,737,857,690,461,240,28,3
서울특별시 중구 동화동(1114066500),10199,10199,631,798,1284,1299,1458,1909,1532,763,462,61,2,4907,4907,354,393,614,629,698,937,764,343,155,20,0,5292,5292,277,405,670,670,760,972,768,420,307,41,2
서울특별시 중구 황학동(1114067000),12638,12638,701,475,2141,2833,1842,1779,1550,884,364,67,2,6010,6010,367,231,877,1399,924,887,765,414,129,17,0,6628,6628,334,244,1264,1434,918,892,785,470,235,50,2
서울특별시 중구 중림동(1114068000),11968,11968,962,725,1333,2060,2026,1887,1561,918,426,64,6,5969,5969,494,391,637,982,1079,978,812,414,163,16,3,5999,5999,468,334,696,1078,947,909,749,504,263,48,3
서울특별시 용산구 (1117000000),222009,222009,12415,14585,32317,37623,33450,36014,29359,15945,8772,1452,77,106645,106645,6359,7370,15153,18628,16474,17726,14196,6983,3307,430,19,115364,115364,6056,7215,17164,18995,16976,18288,15163,8962,5465,1022,58
서울특별시 용산구 후암동(1117051000),16696,16696,837,1159,2342,2777,2534,2745,2286,1262,637,104,13,8142,8142,435,638,1189,1457,1224,1348,1071,549,203,25,3,8554,8554,402,521,1153,1320,1310,1397,1215,713,434,79,10
서울특별시 용산구 용산2가동(1117052000),9390,9390,295,482,1439,1689,1285,1377,1398,885,464,75,1,4534,4534,151,250,750,867,674,642,632,382,167,19,0,4856,4856,144,232,689,822,611,735,766,503,297,56,1
서울특별시 용산구 남영동(1117053000),7347,7347,165,250,943,1024,996,1594,1415,622,292,40,6,4462,4462,91,138,453,535,633,1094,987,372,147,11,1,2885,2885,74,112,490,489,363,500,428,250,145,29,5
서울특별시 용산구 청파동(1117055500),19381,19381,617,1064,4204,3236,2528,3039,2466,1411,725,87,4,9014,9014,302,526,1624,1739,1279,1502,1164,577,278,22,1,10367,10367,315,538,2580,1497,1249,1537,1302,834,447,65,3
서울특별시 용산구 원효로제1동(1117056000),15996,15996,1205,941,2442,3627,2614,2217,1703,820,365,59,3,7563,7563,603,481,1001,1696,1309,1100,830,374,152,16,1,8433,8433,602,460,1441,1931,1305,1117,873,446,213,43,2
서울특별시 용산구 원효로제2동(1117057000),13724,13724,821,1129,1890,2161,2107,2263,1778,980,519,74,2,6456,6456,401,472,856,1077,1054,1103,844,452,178,19,0,7268,7268,420,657,1034,1084,1053,1160,934,528,341,55,2
서울특별시 용산구 효창동(1117058000),10390,10390,802,711,1550,1893,1594,1646,1138,661,340,54,1,4941,4941,407,375,735,906,769,776,549,273,133,18,0,5449,5449,395,336,815,987,825,870,589,388,207,36,1
서울특별시 용산구 용문동(1117059000),11797,11797,694,708,1752,1940,1698,1954,1591,962,436,59,3,5649,5649,337,368,858,956,835,980,712,417,173,13,0,6148,6148,357,340,894,984,863,974,879,545,263,46,3
서울특별시 용산구 한강로동(1117062500),21557,21557,1233,975,3596,4786,2860,3373,2638,1269,708,112,7,10249,10249,642,511,1515,2271,1404,1632,1331,590,315,37,1,11308,11308,591,464,2081,2515,1456,1741,1307,679,393,75,6
서울특별시 용산구 이촌제1동(1117063000),25741,25741,2427,2671,2639,3132,4420,4385,2973,1659,1181,242,12,12055,12055,1281,1340,1283,1375,1998,2100,1450,697,439,88,4,13686,13686,1146,1331,1356,1757,2422,2285,1523,962,742,154,8
서울특별시 용산구 이촌제2동(1117064000),8201,8201,489,496,835,1308,1200,1342,1355,721,384,70,1,3841,3841,243,244,419,646,597,628,610,315,126,13,0,4360,4360,246,252,416,662,603,714,745,406,258,57,1
서울특별시 용산구 이태원제1동(1117065000),6295,6295,211,261,1009,1117,807,979,1005,523,307,76,0,3060,3060,102,133,523,609,411,459,468,212,120,23,0,3235,3235,109,128,486,508,396,520,537,311,187,53,0
서울특별시 용산구 이태원제2동(1117066000),8905,8905,386,460,1350,1639,1337,1258,1194,762,451,67,1,4088,4088,190,214,651,801,636,574,520,323,157,22,0,4817,4817,196,246,699,838,701,684,674,439,294,45,1
서울특별시 용산구 한남동(1117068500),20318,20318,1108,1128,2547,3827,3230,3175,2849,1515,777,144,18,9794,9794,593,557,1310,1841,1605,1520,1350,656,314,40,8,10524,10524,515,571,1237,1986,1625,1655,1499,859,463,104,10
서울특별시 용산구 서빙고동(1117069000),12978,12978,740,1447,1720,1429,2348,2278,1536,767,614,98,1,6202,6202,377,726,848,711,1091,1107,772,320,216,34,0,6776,6776,363,721,872,718,1257,1171,764,447,398,64,1
서울특별시 용산구 보광동(1117070000),13293,13293,385,703,2059,2038,1892,2389,2034,1126,572,91,4,6595,6595,204,397,1138,1141,955,1161,906,474,189,30,0,6698,6698,181,306,921,897,937,1228,1128,652,383,61,4
서울특별시 성동구 (1120000000),284573,284573,18839,18988,42859,46302,43035,45797,38074,20158,9293,1177,51,138581,138581,9638,9428,21076,22688,21592,22662,18636,9005,3533,306,17,145992,145992,9201,9560,21783,23614,21443,23135,19438,11153,5760,871,34
